#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 11:52:20      0  1961     6     2     4     0     0
 11:52:21      0  1961     6     4     4     0     0
 11:52:22      0  1961     6     4     4     0     0
 11:52:23      0  1960     6     1     3     0     0
 11:52:24      0  1960     6     5     5     0     0
 11:52:25      0  1960     6     1     3     0     0
 11:52:26      0  1960     6     2     4     0     0
 11:52:27      0  1960     6     3     4     0     0
 11:52:28      0  1961     6     2     3     0     0
 11:52:29      0  1961     6     3     4     0     0
 11:52:30      0  1961     6     3     4     0     0
 11:52:31      0  1961     6     3     4     0     0
 11:52:32      0  1961     6     1     3     0     0
 11:52:33      0  1960     6     3     4     0     0
 11:52:34      0  1960     6     3     4     0     0
 11:52:35      0  1960     6     1     3     0     0
 11:52:36      0  1960     6     2     4     0     0
 11:52:37      0  1960     6     2     4     0     0
 11:52:38      0  1961     6     1     3     0     0
 11:52:39      0  1961     6     3     4     0     0
 11:52:40      0  1961     6     2     4     0     0
 11:52:41      0  1961     6     1     3     0     0
 11:52:42      0  1961     6     3     4     0     0
 11:52:43      0  1960     6     2     4     0     0
 11:52:44      0  1960     6     1     3     0     0
 11:52:45      0  1960     6     3     4     0     0
 11:52:46      0  1960     6     2     4     0     0
 11:52:47      0  1960     6     1     3     0     0
 11:52:48      0  1961     6     2     4     0     0
 11:52:49      0  1961     6     4     4     0     0
 11:52:50      0  1961     6     1     3     0     0
 11:52:51      0  1961     6     2     4     0     0
 11:52:52      0  1961     6     3     4     0     0
 11:52:53      0  1960     6     1     3     0     0
 11:52:54      0  1960     6     2     4     0     0
 11:52:55      0  1960     6     3     4     0     0
 11:52:56      0  1960     6     1     3     0     0
 11:52:57      0  1960     6     2     4     0     0
 11:52:58      0  1961     6     2     4     0     0
 11:52:59      0  1961     6     2     4     0     0
 11:53:00      0  1961     6     3     4     0     0
 11:53:01      0  1961     6     3     4     0     0
 11:53:02      0  1961     6     1     3     0     0
 11:53:04      0  1960     6     2     4     0     0
#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 11:53:05      0  1960     6     3     4     0     0
 11:53:06      0  1960     6     1     4     0     0
 11:53:07      0  1960     6     2     4     0     0
 11:53:08      0  1960     6     3     4     0     0
 11:53:09      0  1961     6     1     3     0     0
 11:53:10      0  1961     6     3     4     0     0
 11:53:11      0  1961     6     3     4     0     0
 11:53:12      0  1961     6     1     3     0     0
 11:53:13      0  1961     6     3     4     0     0
 11:53:14      0  1960     6     2     4     0     0
 11:53:15      0  1960     6     1     3     0     0
 11:53:16      0  1960     6     2     4     0     0
 11:53:17      0  1960     6     3     4     0     0
 11:53:18      0  1960     6     1     3     0     0
 11:53:19      0  1961     6     3     4     0     0
 11:53:20      0  1961     6     4     4     0     0
 11:53:21      0  1961     6     1     3     0     0
 11:53:22      0  1961     6     3     4     0     0
 11:53:23      0  1961     6     2     4     0     0
 11:53:24      0  1960     6     1     3     0     0
 11:53:25      0  1960     6     3     4     0     0
 11:53:26      0  1960     6     2     4     0     0
 11:53:27      0  1960     6     1     3     0     0
 11:53:28      0  1960     6     3     4     0     0
 11:53:29      0  1961     6     3     4     0     0
 11:53:30      0  1961     6     2     4     0     0
 11:53:31      0  1961     6     2     4     0     0
 11:53:32      0  1961     6     3     4     0     0
 11:53:33      0  1961     6     1     3     0     0
 11:53:34      0  1960     6     3     4     0     0
 11:53:35      0  1960     6     3     4     0     0
 11:53:36      0  1960     6     2     4     0     0
 11:53:37      0  1960     6     2     3     0     0
 11:53:38      0  1960     6     3     4     0     0
 11:53:39      0  1961     6     2     4     0     0
 11:53:40      0  1961     6     3     4     0     0
 11:53:41      0  1961     6     2     4     0     0
 11:53:42      0  1961     6     3     4     0     0
 11:53:43      0  1961     6     1     3     0     0
 11:53:44      0  1960     6     3     4     0     0
 11:53:45      0  1960     6     3     4     0     0
 11:53:46      0  1960     6     1     3     0     0
 11:53:47      0  1960     6     2     4     0     0
 11:53:48      0  1960     6     2     4     0     0
#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 11:53:49      0  1961     6     1     3     0     0
 11:53:50      0  1961     6     4     4     0     0
 11:53:51      0  1961     6     2     4     0     0
 11:53:52      0  1961     6     1     3     0     0
 11:53:53      0  1961     6     2     4     0     0
 11:53:54      0  1960     6     2     4     0     0
 11:53:55      0  1960     6     1     3     0     0
 11:53:56      0  1960     6     2     4     0     0
 11:53:57      0  1960     6     3     4     0     0
 11:53:58      0  1960     6     1     3     0     0
 11:53:59      0  1961     6     3     4     0     0
 11:54:00      0  1961     6     3     4     0     0
 11:54:01      0  1961     6     2     3     0     0
 11:54:02      0  1961     6     3     4     0     0
 11:54:03      0  1961     6     3     4     0     0
 11:54:04      0  1960     6     1     4     0     0
 11:54:05      0  1960     6     3     4     0     0
 11:54:06      0  1960     6     2     4     0     0
 11:54:07      0  1960     6     1     3     0     0
 11:54:08      0  1960     6     2     4     0     0
